"Section","Category","Title","OfficialUrl","LocalPath","Format","Status","SourceBatch","Notes"
"行业重要法规与准则","核心法律","中华人民共和国公司法","","raw/laws/中华人民共和国公司法.md","markdown","downloaded","local-core-laws-2026-06-26","本地Markdown文本；后续需补官方链接与版本核验"
"行业重要法规与准则","核心法律","中华人民共和国会计法","","raw/laws/中华人民共和国会计法.md","markdown","downloaded","local-core-laws-2026-06-26","本地Markdown文本；版本线索：2024-06-28第三次修正"
"行业重要法规与准则","核心法律","中华人民共和国证券法","","raw/laws/中华人民共和国证券法.md","markdown","downloaded","local-core-laws-2026-06-26","本地Markdown文本；后续需补官方链接与版本核验"
"行业重要法规与准则","核心法律","中华人民共和国注册会计师法","","raw/laws/中华人民共和国注册会计师法.md","markdown","downloaded","local-core-laws-2026-06-26","本地Markdown文本；版本线索：1993-10-31通过，2014-08-31修正"
"行业重要法规与准则","企业会计准则","企业会计准则第10号——企业年金基金","https://kjs.mof.gov.cn/zt/kjzzss/kuaijizhunzeshishi/200806/t20080618_46238.htm","raw/standards/accounting/standards-pages/企业会计准则第10号-企业年金基金.html","html","downloaded","enterprise-accounting-standards-download-2026-06-26","财政部会计司企业会计准则栏目"
"行业重要法规与准则","企业会计准则","企业会计准则第11号——股份支付","https://kjs.mof.gov.cn/zt/kjzzss/kuaijizhunzeshishi/200806/t20080618_46237.htm","raw/standards/accounting/standards-pages/企业会计准则第11号-股份支付.html","html","downloaded","enterprise-accounting-standards-download-2026-06-26","财政部会计司企业会计准则栏目"
"行业重要法规与准则","企业会计准则","企业会计准则第12号——债务重组","https://kjs.mof.gov.cn/zt/kjzzss/kuaijizhunzeshishi/201910/t20191028_3410789.htm","raw/standards/accounting/standards-pages/企业会计准则第12号-债务重组.html","html","downloaded","enterprise-accounting-standards-download-2026-06-26","财政部会计司企业会计准则栏目"
"行业重要法规与准则","企业会计准则","企业会计准则第13号——或有事项","https://kjs.mof.gov.cn/zt/kjzzss/kuaijizhunzeshishi/200806/t20080618_46235.htm","raw/standards/accounting/standards-pages/企业会计准则第13号-或有事项.html","html","downloaded","enterprise-accounting-standards-download-2026-06-26","财政部会计司企业会计准则栏目"
"行业重要法规与准则","企业会计准则","企业会计准则第14号——收入","https://kjs.mof.gov.cn/zt/kjzzss/kuaijizhunzeshishi/201709/t20170907_2694006.htm","raw/standards/accounting/standards-pages/企业会计准则第14号-收入.html","html","downloaded","enterprise-accounting-standards-download-2026-06-26","财政部会计司企业会计准则栏目"
"行业重要法规与准则","企业会计准则","企业会计准则第16号——政府补助","https://kjs.mof.gov.cn/zt/kjzzss/kuaijizhunzeshishi/200806/t20080618_46232.htm","raw/standards/accounting/standards-pages/企业会计准则第16号-政府补助.html","html","downloaded","enterprise-accounting-standards-download-2026-06-26","财政部会计司企业会计准则栏目"
